num_of_agents,num_of_items,L,D,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
4,16,1,6,4082,15,60,4082,15,60
4,16,2,10,4094,15,60,4092,15,60
4,16,3,14,2771,10,41,2430,9,36
4,16,4,18,940,3,13,0,0,0
4,16,5,22,0,0,0,0,0,0
4,16,6,26,0,0,0,0,0,0
4,16,7,30,0,0,0,0,0,0
4,16,8,34,0,0,0,0,0,0
4,16,9,38,0,0,0,0,0,0
4,32,1,6,5738,16,65,5738,16,65
4,32,2,10,6770,19,76,6766,19,76
4,32,3,14,7009,19,79,6909,19,78
4,32,4,18,5945,16,67,5912,16,67
4,32,5,22,4893,13,55,4785,13,54
4,32,6,26,3269,9,37,3006,8,34
4,32,7,30,1828,5,20,532,1,6
4,32,8,34,635,1,7,0,0,0
4,32,9,38,87,0,0,0,0,0
4,48,1,6,7703,16,64,7703,16,64
4,48,2,10,8382,17,70,8380,17,70
4,48,3,14,8662,18,72,8640,18,72
4,48,4,18,8625,18,72,8580,17,71
4,48,5,22,8546,17,71,8510,17,71
4,48,6,26,8163,17,68,8100,16,67
4,48,7,30,7612,15,63,7385,15,61
4,48,8,34,6611,13,55,6320,13,53
4,48,9,38,5189,10,43,5022,10,42
4,64,1,6,13200,16,66,13200,16,66
4,64,2,10,15812,19,79,15812,19,79
4,64,3,14,16385,20,82,16383,20,82
4,64,4,18,16490,20,83,16472,20,83
4,64,5,22,16302,20,82,16285,20,82
4,64,6,26,15881,20,80,15846,19,79
4,64,7,30,15086,19,76,15008,18,75
4,64,8,34,13773,17,69,13600,17,68
4,64,9,38,12375,15,62,12177,15,61
4,80,1,6,12659,16,66,12659,16,66
4,80,2,10,15191,19,79,15190,19,79
4,80,3,14,16252,21,85,16248,21,85
4,80,4,18,16588,21,87,16572,21,87
4,80,5,22,16734,21,87,16680,21,87
4,80,6,26,16788,22,88,16734,21,87
4,80,7,30,16461,21,86,16436,21,86
4,80,8,34,15446,20,81,15328,20,80
4,80,9,38,14985,19,78,14904,19,78
4,96,1,6,15434,16,66,15434,16,66
4,96,2,10,18496,19,79,18490,19,79
4,96,3,14,19706,21,85,19701,21,85
4,96,4,18,20440,22,88,20408,22,88
4,96,5,22,20467,22,88,20455,22,88
4,96,6,26,20493,22,88,20418,22,88
4,96,7,30,20247,21,87,20209,21,87
4,96,8,34,20160,21,87,20104,21,86
4,96,9,38,19627,21,84,19539,21,84
4,112,1,6,15183,16,66,15183,16,66
4,112,2,10,18197,19,79,18196,19,79
4,112,3,14,19498,21,85,19494,21,85
4,112,4,18,20216,22,88,20200,22,88
4,112,5,22,20674,22,90,20665,22,90
4,112,6,26,20633,22,90,20568,22,90
4,112,7,30,20686,22,90,20671,22,90
4,112,8,34,20313,22,89,20248,22,88
4,112,9,38,19889,21,87,19809,21,86
4,128,1,6,20637,16,66,20637,16,66
4,128,2,10,24740,19,79,24738,19,79
4,128,3,14,26512,21,85,26502,21,85
4,128,4,18,27449,22,88,27436,22,88
4,128,5,22,27996,22,90,27985,22,90
4,128,6,26,28501,23,92,28482,22,91
4,128,7,30,28506,23,92,28483,22,91
4,128,8,34,28285,22,91,28256,22,91
4,128,9,38,27633,22,89,27585,22,89
4,144,1,6,24767,16,66,24767,16,66
4,144,2,10,29713,19,79,29712,19,79
4,144,3,14,31811,21,85,31809,21,85
4,144,4,18,32995,22,88,32992,22,88
4,144,5,22,33318,22,89,33285,22,89
4,144,6,26,33624,22,90,33618,22,90
4,144,7,30,33571,22,90,33523,22,90
4,144,8,34,33457,22,90,33344,22,89
4,144,9,38,33488,22,90,33444,22,90
4,160,1,6,22939,16,66,22939,16,66
4,160,2,10,27526,19,79,27526,19,79
4,160,3,14,29478,21,85,29475,21,85
4,160,4,18,30538,22,88,30532,22,88
4,160,5,22,30976,22,90,30965,22,89
4,160,6,26,31235,22,90,31224,22,90
4,160,7,30,31312,22,90,31297,22,90
4,160,8,34,31370,22,91,31336,22,91
4,160,9,38,31086,22,90,31023,22,90
4,176,1,6,25937,16,66,25937,16,66
4,176,2,10,31118,19,79,31118,19,79
4,176,3,14,33329,21,85,33327,21,85
4,176,4,18,34531,22,88,34524,22,88
4,176,5,22,35292,22,90,35275,22,90
4,176,6,26,35829,23,92,35814,23,92
4,176,7,30,36133,23,92,36106,23,92
4,176,8,34,36409,23,93,36392,23,93
4,176,9,38,36545,23,93,36531,23,93
4,192,1,6,29464,16,66,29464,16,66
4,192,2,10,35336,19,79,35336,19,79
4,192,3,14,37836,21,85,37836,21,85
4,192,4,18,39194,22,88,39188,22,88
4,192,5,22,40060,22,90,40030,22,90
4,192,6,26,40671,23,92,40656,22,91
4,192,7,30,41155,23,93,41132,23,93
4,192,8,34,41332,23,93,41312,23,93
4,192,9,38,41720,23,94,41697,23,94
4,208,1,6,39281,16,66,39281,16,66
4,208,2,10,47118,19,79,47116,19,79
4,208,3,14,50458,21,85,50445,21,85
4,208,4,18,52338,22,88,52332,22,88
4,208,5,22,53504,22,90,53490,22,90
4,208,6,26,54324,23,92,54318,23,92
4,208,7,30,54842,23,93,54803,23,93
4,208,8,34,55268,23,93,55232,23,93
4,208,9,38,55684,23,94,55656,23,94
4,224,1,6,32308,16,66,32308,16,66
4,224,2,10,38762,19,79,38760,19,79
4,224,3,14,41534,21,85,41532,21,85
4,224,4,18,43044,22,88,43040,22,88
4,224,5,22,44012,22,90,44005,22,90
4,224,6,26,44611,23,92,44586,22,91
4,224,7,30,45059,23,92,45038,23,92
4,224,8,34,45112,23,93,45096,23,93
4,224,9,38,45135,23,93,45108,23,93
4,240,1,6,44948,16,66,44948,16,66
4,240,2,10,53922,19,79,53918,19,79
4,240,3,14,57737,21,85,57729,21,85
4,240,4,18,59856,22,88,59844,22,88
4,240,5,22,61133,22,90,61110,22,90
4,240,6,26,62094,23,92,62088,23,92
4,240,7,30,62790,23,93,62762,23,93
4,240,8,34,63325,23,93,63304,23,93
4,240,9,38,63677,23,94,63666,23,94
4,256,1,6,40020,16,66,40020,16,66
4,256,2,10,48013,19,79,48012,19,79
4,256,3,14,51445,21,85,51444,21,85
4,256,4,18,53345,22,88,53344,22,88
4,256,5,22,54504,22,90,54500,22,90
4,256,6,26,55381,23,92,55374,23,92
4,256,7,30,55944,23,93,55909,23,93
4,256,8,34,56358,23,93,56352,23,93
4,256,9,38,56794,23,94,56763,23,94
4,272,1,6,48353,16,66,48353,16,66
4,272,2,10,58021,19,79,58020,19,79
4,272,3,14,62148,21,85,62145,21,85
4,272,4,18,64409,22,88,64388,22,88
4,272,5,22,65902,22,90,65900,22,90
4,272,6,26,66859,23,92,66834,23,92
4,272,7,30,67511,23,93,67459,23,93
4,272,8,34,67945,23,93,67920,23,93
4,272,9,38,68475,23,94,68445,23,94
4,288,1,6,48899,16,66,48899,16,66
4,288,2,10,58674,19,79,58674,19,79
4,288,3,14,62853,21,85,62847,21,85
4,288,4,18,65178,22,88,65172,22,88
4,288,5,22,66661,22,90,66655,22,90
4,288,6,26,67637,23,92,67626,23,92
4,288,7,30,68371,23,93,68362,23,93
4,288,8,34,68784,23,93,68752,23,93
4,288,9,38,69279,23,94,69246,23,94
4,304,1,6,49219,16,66,49219,16,66
4,304,2,10,59054,19,79,59054,19,79
4,304,3,14,63274,21,85,63273,21,85
4,304,4,18,65612,22,88,65612,22,88
4,304,5,22,67098,22,90,67095,22,90
4,304,6,26,68082,23,92,68076,23,92
4,304,7,30,68715,23,93,68698,23,93
4,304,8,34,69237,23,93,69216,23,93
4,304,9,38,69722,23,94,69705,23,94
4,16,1,6,2685,16,65,2685,16,65
4,16,2,10,2192,13,53,2154,13,52
4,16,3,14,662,4,16,579,3,14
4,16,4,18,159,0,3,0,0,0
4,16,5,22,0,0,0,0,0,0
4,16,6,26,0,0,0,0,0,0
4,16,7,30,0,0,0,0,0,0
4,16,8,34,0,0,0,0,0,0
4,16,9,38,0,0,0,0,0,0
4,32,1,6,6562,16,66,6562,16,66
4,32,2,10,7310,18,73,7304,18,73
4,32,3,14,6590,16,66,6585,16,66
4,32,4,18,5418,13,54,5392,13,54
4,32,5,22,4031,10,40,3990,10,40
4,32,6,26,2100,5,21,1842,4,18
4,32,7,30,1005,2,10,693,1,7
4,32,8,34,437,1,4,0,0,0
4,32,9,38,135,0,1,0,0,0
